Event,Track,Material,StepLength(mm),Edep(MeV),PreE(MeV),PostE(MeV),PreZ(mm),PostZ(mm),Transmission
0,75,G4_AIR,0.12027,0.00165347,0.00165347,0,802.103,802.088,0
0,74,G4_AIR,0.139237,0.00181746,0.00181746,0,805.618,805.632,0
0,73,G4_AIR,0.0576707,0.00100756,0.00100756,0,885.127,885.114,0
0,72,G4_AIR,0.0605141,0.00104214,0.00104214,0,909.351,909.344,0
0,71,G4_AIR,0.0861768,0.00132683,0.00132683,0,1044.07,1044.09,0
0,70,G4_AIR,0.116673,0.0016211,0.0016211,0,1126.98,1127,0
0,69,G4_AIR,1.296,0.00433695,0.00694674,0.00260979,1127.77,1127.4,1
0,69,G4_AIR,0.249139,0.00260979,0.00260979,0,1127.4,1127.38,0
0,68,G4_AIR,2.03689,0.00355219,0.0113639,0.00781169,1175.54,1176.19,1
0,68,G4_AIR,0.685949,0.00109598,0.00781169,0.00448562,1176.19,1175.87,1
0,68,G4_AIR,0.632504,0.00448562,0.00448562,0,1175.87,1175.77,0
0,88,G4_AIR,0.192605,0.00223009,0.00223009,0,1175.87,1175.93,0
0,67,G4_AIR,0.143542,0.00185323,0.00185323,0,1190.03,1189.97,0
0,10,G4_AIR,0.347323,0.00317673,0.00317673,0,1214.94,1214.81,0
0,9,G4_AIR,0.0740404,0.0011976,0.0011976,0,1234.91,1234.89,0
0,8,G4_AIR,0.796882,0.00511297,0.00511297,0,1307.18,1307.44,0
0,7,G4_AIR,0.139767,0.00182189,0.00182189,0,1321.32,1321.35,0
0,6,G4_AIR,0.251854,0.00262686,0.00262686,0,1370.47,1370.39,0
0,5,G4_AIR,0.0758666,0.0012176,0.0012176,0,1382.29,1382.28,0
0,4,G4_AIR,0.609154,0.00439051,0.00439051,0,1423.24,1423.46,0
0,3,G4_AIR,0.11463,0.00160251,0.00160251,0,1454.55,1454.58,0
0,2,G4_AIR,0.198663,0.00227323,0.00227323,0,1461.56,1461.49,0
1,1,G4_AIR,311.425,0.0455301,5296.92,5296.87,1500,1305.21,1
1,1,G4_AIR,118.883,0.0217615,5296.87,5296.85,1305.21,1230.85,1
1,1,G4_AIR,234.385,0.0403349,5296.85,5296.76,1230.85,1084.26,1
1,1,G4_AIR,196.847,0.0317896,5296.76,5296.73,1084.26,961.136,1
1,1,G4_AIR,101.216,0.0170166,5296.73,5296.71,961.136,897.827,1
1,1,G4_AIR,59.1884,0.0131057,5296.71,5296.67,897.827,860.805,1
1,1,G4_AIR,27.7096,0.00668673,5296.67,5296.66,860.805,843.474,1
1,1,G4_AIR,185.365,0.0283645,5296.66,5296.62,843.474,727.53,1
1,1,G4_AIR,43.3861,0.0104299,5296.62,5296.61,727.53,700.392,1
1,1,G4_AIR,198.187,0.0337359,5296.61,5296.57,700.392,576.43,1
1,1,G4_AIR,0.166213,2.23901e-05,5296.57,5296.57,576.43,576.326,1
1,1,G4_AIR,272.706,0.0570778,5296.57,5296.51,576.326,405.75,1
1,1,G4_AIR,97.3506,0.0183265,5296.51,5296.49,405.75,344.86,1
1,1,G4_AIR,85.1501,0.0142617,5296.49,5296.48,344.86,291.6,1
1,1,G4_AIR,53.2027,0.010234,5296.48,5296.46,291.6,258.322,1
1,1,G4_AIR,138.009,0.0300037,5296.46,5296.43,258.322,171.996,1
1,1,G4_AIR,109.784,0.0182913,5296.43,5296.41,171.996,103.326,1
1,1,G4_AIR,29.7728,0.00539585,5296.41,5296.4,103.326,84.7037,1
1,1,G4_AIR,7.99361,0.00122204,5296.4,5296.4,84.7037,79.7038,1
1,1,G4_AIR,74.7983,0.0134325,5296.4,5296.39,79.7038,32.9188,1
1,1,G4_AIR,31.7332,0.00672824,5296.39,5296.38,32.9188,13.0709,1
1,1,G4_AIR,296.668,0.05277,5296.38,5296.32,13.0709,-172.486,1
1,1,G4_AIR,178.546,0.0261964,5296.32,5296.29,-172.486,-284.165,1
1,1,G4_AIR,47.592,0.00594462,5296.29,5296.29,-284.165,-313.934,1
1,1,G4_AIR,19.3403,0.00333535,5296.29,5296.28,-313.934,-326.031,1
1,1,G4_AIR,385.694,0.0695711,5296.28,5296.21,-326.031,-567.282,1
1,1,G4_AIR,56.1705,0.00970137,5296.21,5296.2,-567.282,-602.42,1
1,1,G4_AIR,10.1791,0.0015613,5296.2,5296.2,-602.42,-608.787,1
1,1,G4_AIR,0.948681,0.000324599,5296.2,5296.19,-608.787,-609.381,1
1,1,G4_AIR,323.393,0.056001,5296.19,5296.14,-609.381,-811.677,0
1,30,G4_AIR,0.119207,0.00164395,0.00164395,0,-609.381,-609.346,0
1,29,G4_AIR,0.069881,0.00115123,0.00115123,0,-608.787,-608.789,0
1,28,G4_AIR,0.221977,0.00243347,0.00243347,0,-602.42,-602.467,0
1,27,G4_AIR,0.16812,0.00204858,0.00204858,0,-567.282,-567.248,0
1,26,G4_AIR,0.117065,0.00162465,0.00162465,0,-326.031,-326.048,0
1,25,G4_AIR,0.0668205,0.00111634,0.00111634,0,-313.934,-313.952,0
1,24,G4_AIR,0.0656658,0.001103,0.001103,0,-284.165,-284.171,0
1,23,G4_AIR,0.408512,0.00349053,0.00349053,0,-172.486,-172.418,0
1,22,G4_AIR,0.313314,0.00299072,0.00299072,0,13.0709,13.1195,0
1,21,G4_AIR,0.0943721,0.00140975,0.00140975,0,32.9188,32.9152,0
1,20,G4_AIR,0.0672088,0.00112081,0.00112081,0,79.7038,79.7139,0
1,19,G4_AIR,0.507201,0.00395375,0.00395375,0,84.7037,84.791,0
1,18,G4_AIR,0.0603239,0.00103985,0.00103985,0,103.326,103.331,0
1,17,G4_AIR,0.0788943,0.0012503,0.0012503,0,171.996,172.01,0
1,16,G4_AIR,0.1425,0.00184462,0.00184462,0,258.322,258.36,0
1,15,G4_AIR,0.32523,0.00305697,0.00305697,0,291.6,291.694,0
1,14,G4_AIR,0.239032,0.00254538,0.00254538,0,344.86,344.93,0
1,13,G4_AIR,0.117822,0.00163148,0.00163148,0,405.75,405.755,0
1,12,G4_AIR,0.109974,0.00155961,0.00155961,0,576.326,576.354,0
1,11,G4_AIR,0.0714838,0.00116924,0.00116924,0,576.43,576.426,0
1,10,G4_AIR,0.666739,0.00462213,0.00462213,0,700.392,700.232,0
1,9,G4_AIR,0.0569164,2.15293e-05,0.00317198,0.00206241,727.53,727.545,1
1,9,G4_AIR,0.169928,0.00206241,0.00206241,0,727.545,727.594,0
1,31,G4_AIR,0.0643829,0.00108805,0.00108805,0,727.545,727.534,0
1,8,G4_AIR,0.18822,0.00219844,0.00219844,0,843.474,843.522,0
1,7,G4_AIR,5.70176,0.0051314,0.0305849,0.0254535,860.805,859.555,1
1,7,G4_AIR,4.50339,0.0041839,0.0254535,0.0212696,859.555,857.261,1
1,7,G4_AIR,3.65204,0.00355883,0.0212696,0.0177107,857.261,856.321,1
1,7,G4_AIR,3.01483,0.00650118,0.0177107,0.0112095,856.321,855.764,1
1,7,G4_AIR,2.01425,0.00350327,0.0112095,0.00770627,855.764,854.626,1
1,7,G4_AIR,0.881811,0.00325564,0.00770627,0.00335979,854.626,854.173,1
1,7,G4_AIR,0.382447,0.00335979,0.00335979,0,854.173,854.121,0
1,32,G4_AIR,0.0646223,0.00109085,0.00109085,0,854.173,854.19,0
1,6,G4_AIR,0.203244,0.00230543,0.00230543,0,897.827,897.8,0
